Pollutant,Measure,Measure Info,Location,Period,Start_Date,Value
Nitrogen dioxide (NO2),Mean,ppb,Flushing and Whitestone (CD7),Winter 2014-15,2014-12-01,23.97
Nitrogen dioxide (NO2),Mean,ppb,Upper West Side (CD7),Winter 2014-15,2014-12-01,27.42
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Annual Average 2017,2017-01-01,12.55
Nitrogen dioxide (NO2),Mean,ppb,Flushing and Whitestone (CD7),Winter 2015-16,2015-12-01,22.63
Nitrogen dioxide (NO2),Mean,ppb,Flushing and Whitestone (CD7),Summer 2016,2016-06-01,14.0
Nitrogen dioxide (NO2),Mean,ppb,Upper West Side (CD7),Winter 2015-16,2015-12-01,26.43
Nitrogen dioxide (NO2),Mean,ppb,Upper West Side (CD7),Summer 2016,2016-06-01,19.1
Nitrogen dioxide (NO2),Mean,ppb,Flatbush and Midwood (CD14),Annual Average 2018,2018-01-01,17.28
Nitrogen dioxide (NO2),Mean,ppb,Flushing and Whitestone (CD7),Annual Average 2016,2015-12-31,18.2
Nitrogen dioxide (NO2),Mean,ppb,Upper West Side (CD7),Winter 2021-22,2021-12-01,22.07527023
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Annual Average 2021,2021-01-01,11.33729397
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Summer 2009,2009-06-01,8.44
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Winter 2010-11,2010-12-01,20.26
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Annual Average 2013,2012-12-01,12.54
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Winter 2014-15,2014-12-01,20.58
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Summer 2021,2021-06-01,4.850858294
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Annual Average 2018,2018-01-01,10.41
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Winter 2021-22,2021-12-01,15.70203388
Fine particles (PM 2.5),Mean,mcg/m3,Sunset Park (CD7),Annual Average 2013,2012-12-01,9.18
Fine particles (PM 2.5),Mean,mcg/m3,Upper West Side (CD7),Winter 2015-16,2015-12-01,8.85
Fine particles (PM 2.5),Mean,mcg/m3,Rockaway and Broad Channel (CD14),Winter 2020-21,2020-12-01,6.33109299
Fine particles (PM 2.5),Mean,mcg/m3,Rockaway and Broad Channel (CD14),Summer 2010,2010-06-01,10.74
Fine particles (PM 2.5),Mean,mcg/m3,Rockaway and Broad Channel (CD14),Summer 2011,2011-06-01,10.59
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Summer 2012,2012-06-01,8.11
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Summer 2013,2013-06-01,7.88
Nitrogen dioxide (NO2),Mean,ppb,Sunset Park (CD7),Winter 2013-14,2013-12-01,27.81
Nitrogen dioxide (NO2),Mean,ppb,Sunset Park (CD7),Annual Average 2019,2019-01-01,18.52
Nitrogen dioxide (NO2),Mean,ppb,Flatbush and Midwood (CD14),Winter 2017-18,2017-12-01,23.47
Nitrogen dioxide (NO2),Mean,ppb,Flushing and Whitestone (CD7),Annual Average 2019,2019-01-01,16.27
Nitrogen dioxide (NO2),Mean,ppb,Upper West Side (CD7),Annual Average 2022,2022-01-01,18.1703003
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Winter 2017-18,2017-12-01,14.31
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Annual Average 2019,2019-01-01,9.94
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Annual Average 2022,2022-01-01,11.36047467
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Winter 2008-09,2008-12-01,20.89
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Winter 2013-14,2013-12-01,22.58
Fine particles (PM 2.5),Mean,mcg/m3,Kingsbridge Heights and Bedford (CD7),Annual Average 2016,2015-12-31,7.78
Fine particles (PM 2.5),Mean,mcg/m3,Sunset Park (CD7),Summer 2013,2013-06-01,10.7
Fine particles (PM 2.5),Mean,mcg/m3,Rockaway and Broad Channel (CD14),Annual Average 2013,2012-12-01,7.61
